Country,Instruction Hours Per Year,Math Average Score,Math Hours Per Year,Science Average Score ,Science hours per year,Math score/hour,Science Score/Hour
   TIMSS average,897,500,162,500,85,3.086419753,5.882352941
Armenia,851,452,139,416,54,3.253827842,7.705244444
Australia,"1,008",516,230,516,65,2.243181304,7.932204769
Austria,808,508,146,532,96,3.481581507,5.536480729
Azerbaijan,804,463,130,438,61,3.559620923,7.181414754
Bahrain,964,436,131,449,85,3.328525267,5.287242235
Chile,"1,228",462,231,480,161,1.998617056,2.983068571
Chinese Taipei-CHN,989,591,133,552,90,4.445158947,6.130031333
Croatia,776,490,134,516,95,3.65802,5.431473895
Czech Republic,782,511,163,536,60,3.134039264,8.940187
Denmark,863,537,124,528,62,4.33034871,8.515975968
England-GBR,970,542,188,529,76,2.884916383,6.957649211
Portugal,940,532,250,522,162,2.1290318,3.220394815
Qatar,"1,068",413,185,394,135,2.23197773,2.919673037
Romania,796,482,148,505,56,3.258653243,9.024736429
Russian Federation,660,542,104,552,49,5.212474038,11.27235612
Saudi Arabia,977,410,147,429,82,2.790541156,5.236424512
Serbia,778,516,153,516,72,3.372130131,7.159828056
Singapore,"1,012",606,208,583,96,2.91243274,6.076446875
Slovak Republic,780,507,147,532,101,3.447409048,5.265392574
Slovenia,684,513,169,520,101,3.035654734,5.151288614
Spain,884,482,167,505,145,2.888798263,3.483808414
Sweden,849,504,138,533,75,3.651723333,7.113083333
Thailand,"1,201",458,167,472,109,2.742370419,4.326337156
Tunisia,963,359,175,346,93,2.053397714,3.716196774
Turkey,900,469,126,463,94,3.724403651,4.920259574
United Arab Emirates,"1,025",434,154,428,108,2.820669481,3.961379722
United States,"1,078",541,206,544,105,2.624511117,5.179435238
Yemen,831,248,135,209,91,1.833816296,2.296703297
,,,,,,,
